PAN_no,type_of_insurance,premium,payment_frequency,insurance_start_date,insurance_end_date
CVuj0033l,Motor,16682,Yearly,11-10-2022,09-10-2025
nNxc7268X,Motor,17146,Yearly,15-05-2024,01-02-2026
xqpU6471O,Motor,11658,Yearly,12-03-2023,12-08-2026
xPPM3343E,Health,29446,Monthly,27-05-2024,01-07-2026
Jexw2781n,Motor,37941,Monthly,16-10-2023,07-05-2027
yjsG7306e,Health,26206,Yearly,09-12-2022,05-06-2026
RgyR9146t,Motor,33076,Yearly,10-12-2023,07-06-2026
etzT8291U,Health,27488,Monthly,08-03-2023,03-11-2025
hSxw1384e,Health,39614,Yearly,01-10-2022,30-03-2026
yera7953J,Health,20875,Monthly,10-01-2023,20-11-2025
GKYD6572j,Motor,32161,Yearly,24-02-2024,14-06-2027
WrXP8018v,Health,5634,Monthly,01-11-2023,17-08-2026
HJcs1875g,Motor,20800,Monthly,05-03-2023,06-03-2027
nMPo1662w,Motor,23276,Monthly,01-01-2024,20-10-2026
luZo8384y,Motor,20587,Yearly,29-11-2023,27-10-2026
gGjf8070S,Motor,3370,Yearly,30-12-2023,06-08-2025
PjbZ9511m,Health,19028,Monthly,22-11-2022,18-12-2025
XMXZ4274s,Motor,24516,Yearly,09-02-2023,02-06-2026
zDry5216S,Health,14992,Yearly,12-07-2023,05-11-2025
ehrj0925W,Health,23744,Monthly,25-03-2024,23-05-2026
bfMZ3097L,Health,38765,Monthly,20-02-2024,15-12-2026
CSSb1015M,Health,32563,Monthly,28-02-2024,16-06-2026
uZMQ2924I,Motor,34416,Monthly,27-10-2022,11-10-2026
kDkJ6765P,Motor,20533,Monthly,25-03-2023,15-03-2027
LZfb3415R,Motor,24965,Monthly,20-06-2024,19-05-2027
APne7080U,Motor,35039,Monthly,03-02-2024,28-05-2027
sDQe2124O,Motor,4614,Monthly,07-07-2023,01-05-2027
Oblj9162V,Health,39106,Monthly,26-09-2022,21-04-2027
Lbfg0622Z,Motor,27104,Monthly,12-03-2024,09-02-2026
ciep0297X,Health,16530,Monthly,14-06-2023,28-01-2026
LghI4772G,Health,15302,Monthly,06-10-2022,16-02-2026
xvvf7981J,Health,5471,Monthly,08-08-2023,18-08-2025
rTvO3982R,Health,10684,Yearly,19-06-2024,06-04-2026
yMDS2445L,Motor,37944,Yearly,28-10-2022,05-12-2025
cOgg2135p,Health,13545,Yearly,04-12-2023,14-05-2026
LSAF1704j,Motor,39276,Yearly,04-06-2023,28-02-2027
sEpx5677h,Motor,26709,Monthly,01-04-2024,30-11-2025
cvLd4326q,Health,23845,Yearly,25-05-2024,18-08-2025
vmXf2053m,Health,38474,Monthly,18-10-2023,22-12-2026
BNMI9843s,Health,29853,Monthly,07-07-2022,12-02-2027
ioAc0119n,Health,35832,Monthly,13-10-2022,05-07-2026
TPfg6446L,Health,27556,Yearly,23-12-2022,06-11-2025
Gdxz1670J,Health,36429,Monthly,06-02-2024,22-09-2026
zPDB8625g,Health,19554,Yearly,03-06-2024,15-01-2027
olJn2763G,Health,34917,Yearly,19-01-2023,27-05-2026
xkNx5570c,Motor,14196,Yearly,10-01-2023,26-05-2027
WPxz2662x,Motor,16795,Yearly,26-09-2023,24-08-2026
unpC8389y,Motor,5433,Yearly,27-12-2023,05-01-2027
aXNS7633L,Health,3323,Monthly,29-05-2023,17-05-2026
qIYl5434f,Motor,39198,Monthly,17-01-2023,28-11-2025
gPAu4106a,Health,28217,Yearly,28-05-2024,08-06-2027
AyVv2173B,Motor,34732,Monthly,04-04-2024,07-09-2026
RNWe4999B,Motor,29985,Yearly,10-10-2022,13-09-2026
HQCr1710I,Health,36563,Yearly,08-09-2022,28-03-2027
UVyi2568h,Health,30122,Monthly,05-01-2024,01-06-2026
crMm4127S,Motor,10945,Monthly,21-12-2022,24-09-2025
upZu5258u,Health,6897,Monthly,22-03-2023,19-08-2025
nwGq8589U,Health,13021,Monthly,14-05-2024,22-07-2026
Xiob9532E,Motor,34223,Yearly,01-04-2023,22-08-2025
iuYn5198W,Health,21158,Yearly,22-03-2024,02-11-2025
XXDY9672G,Health,22955,Monthly,26-04-2024,20-09-2026
vvlq7148v,Motor,4083,Yearly,25-02-2023,26-08-2025
zzoE8592O,Health,28252,Yearly,03-12-2022,28-05-2027
tykJ1861H,Motor,26442,Monthly,05-08-2023,14-11-2026
FtTU3816i,Health,5023,Monthly,31-10-2022,16-07-2025
fSYC2658D,Motor,17294,Monthly,22-05-2024,08-08-2026
YBnT1898A,Motor,19280,Yearly,26-07-2022,01-09-2025
