PAN_no,income,cibil_score,bank_account_number,card_type
oiVg1043R,594125,781,CAVB12049850531356,debit
cbfn8196o,513688,717,QLRV21139022478227,Debit
mTPS8908I,651762,643,QGIJ21175115184492,Debit
rZaW6379Z,895776,773,JVTV80409951177443,debit
jnWv2654g,860832,701,DNQI18701852384564,credit
wMqZ1615c,,756,DYFK66284595660582,
fJsO7816N,621503,708,EBMA03986864312886,Debit
cQoX5931s,890329,718,AWPR65760198569407,credit
rDOx1316k,610139,829,XUQV31200301215919,debit
SRPe5534M,624269,848,FZTC56305026407844,Credit
DyrO2832S,1057623,720,LQFA79020234825556,Debit
ocZu8350z,746604,673,XWCG29216396183277,
TunP4139F,326897,684,JDQV22557842344880,credit
ipVJ6724I,,707,KBSH98512608270369,Debit
zxoi4969G,967640,682,YJAK72995417158542,
jOkY7101R,921957,772,TUZW02257183902762,Debit
yMDH6916q,889026,729,QHRP90461995766688,Debit
WrXP8018v,479804,801,XZHW22361075713679,Credit
DaUU1462q,612217,815,GHWV98576905528224,Credit
OtOG8281M,890801,750,PVDS69869512976093,Debit
IXHa3252M,566045,744,CYNM15964178048066,Debit
xZtp5701d,733688,705,KEQM04049054590499,Credit
UFeW3911I,676529,792,HMOX60467568542096,Credit
kqHM2278B,455993,600,URTV35900389293802,
zQPx3834C,561712,663,CKBZ31674078725238,Debit
oevb8713L,810966,800,ILFF21222690249777,Credit
aeTO8393d,704048,828,OHDG36266614776385,credit
eGpr3105Q,712182,788,WTZT23386333180015,
UKKE7382p,764913,767,HGPG24358317177884,Credit
gQBw7631B,915195,652,RAGQ30899443755518,Credit
dzUv6701Z,727257,688,KCIJ10405537204505,debit
ICiB1333l,649416,711,MDZW27754064468624,debit
CZJg4731d,874843,651,FODO92136003613415,
kAFE8013n,847765,840,VPGU96534613321004,Debit
ayqY6026Y,764436,792,CEBH34484876835356,
QTFj7468m,756988,664,EVPL07585528341600,Credit
VIdV4309u,510805,741,FPDD61225714385141,Debit
GHkd0097G,856202,655,JBCI66947903223268,debit
eRpz1219h,218048,713,GSYE79531752636384,Credit
cNfA9399Q,583828,795,HZSM75879827298638,Debit
qnQT9985u,753909,849,FJWX07125836385357,
QPtD3462u,795509,759,LJLV01030569188431,Credit
KgeI1079n,358519,787,NNVC31198239830465,
epxs8425k,785847,695,EPVH45180048854019,debit
ZPHa7849Q,700367,642,UHRL40099435908036,Credit
qhgV8412J,1032556,659,AQEM18724631194964,debit
nTvn2449R,756486,649,CEOG98884680669579,Credit
dfOB4874r,,708,PTDJ45080868555678,
OqkV0052C,1443000,751,HYZR43969783366487,credit
heSj8680I,806118,780,IJCU96224486490492,debit
jBic0598t,470173,755,YWTH41943428590164,debit
RpQg5053w,708244,715,XFSM26789069462305,Debit
pkZZ8692l,396904,838,XPJY39243617645926,credit
YAZQ6025V,1022093,788,BEKV88165203239558,debit
ycEo3421m,636569,623,OKQM59767393765972,Debit
obQm7543z,712988,714,RBPA06282486428951,debit
wPGz5414R,601758,814,ZEOM97445956975274,credit
qlLq8501c,931910,672,EDLZ66619179156559,
UYuB1965M,1163941,694,DTSX43673357224966,Credit
mqcT8169B,976246,601,ZAED76162883610009,
xBeQ0883v,831806,827,FHEN77854346286080,Credit
GtQA9514u,559688,658,UEWT51825857430387,
mAQy6482R,1094027,656,XTNP31440159264086,Credit
zJat2994s,931258,820,KSPO90500085329508,credit
PuDC3699C,656484,686,PKYH85244195938699,credit
QfsG3872Q,1036815,725,FMSU79978957541043,
RtoZ9513m,600813,777,YWXX85102269141705,credit
ENXe2003D,817690,621,IGSI61946246628512,Credit
Fzpj6936P,563961,726,HREN15443611204607,Credit
lZSH0163D,606284,843,MVPS47528155399210,Debit
DiZD0831Q,,717,VMUC82424300015631,Credit
WCNU8895G,648497,637,GYUN12773772672236,Credit
VECq6872W,640128,705,RRBN15578949266956,
OprC3487e,860070,831,YKWV80003394531257,Debit
uIfi4345j,598390,696,OMPB24762485576594,debit
eAAv3623I,835802,849,ZLCG58974796636400,debit
AyXL7603S,818568,757,EBMN57537189390320,Debit
awtW0967y,545605,624,AFMH99312599831988,Credit
oFor6889B,,700,HJRY22448380872329,debit
QRZz7065U,763515,821,XFVO01441918477317,credit
IbzL2729K,861473,672,EGOV93854945855768,Credit
Dldq0162y,871449,808,WRCW67171456501577,
vWyr5375W,388953,697,VBHU41851550965685,debit
bVId6417w,910866,646,ZNEI79274861959522,credit
pmbN3100j,460939,646,HABC51854477029401,credit
KnDS3271q,1014511,826,UEEX83490616461930,debit
VThX5299k,925009,808,VFMS57306401848197,Debit
tKRy4190z,798305,615,VOGO31390121548128,credit
gSXt3193R,617142,687,OVQU84796556692489,Credit
wIBQ9190x,547540,760,JNTH76636518577715,Credit
AFgB1850x,1003069,707,OWMD13882249662116,Credit
UHPr7262N,843804,815,BJNS91322492376184,Debit
ULru8776p,,810,PHSQ95683062003030,credit
WDKN1473Q,575413,795,QQKD23000540112670,Credit
ulFn6507w,422701,628,CLYW21635882623608,
SrJa4549H,768648,690,ZJUZ26155294284486,credit
FJWp3136S,794884,755,CYBY10380326875496,
fsoz7770S,945161,750,TBYW63635046920495,
EJHw3495B,942995,728,BEUB24246840918787,credit
rtqo8557h,909327,770,XYUX21984057952584,credit
WSlm3518n,,840,MHBS54759428074502,
Msgm7498s,620543,792,GQNR39256169857715,
aTIi3524r,626134,608,VCLU41192809621944,credit
SiOW0084F,601686,764,MTDF25839323144707,debit
EECv1094l,678010,809,FLFA71821738895855,Debit
